type	boundary	emissionsSector	economicSector	endUser	source	activity	emissions	energy	emissionsAbatement	natural	unit	bau2018	bau2019	bau2020	bau2021	bau2022	bau2023	bau2024	bau2025	bau2026	bau2027	bau2028	bau2029	znet2018	znet2019	znet2020	znet2021	znet2022	znet2023	znet2024	znet2025	znet2026	znet2027	znet2028	znet2029	bauEnergy2018	bauEnergy2019	bauEnergy2020	bauEnergy2021	bauEnergy2022	bauEnergy2023	bauEnergy2024	bauEnergy2025	bauEnergy2026	bauEnergy2027	bauEnergy2028	bauEnergy2029	znetEnergy2018	znetEnergy2019	znetEnergy2020	znetEnergy2021	znetEnergy2022	znetEnergy2023	znetEnergy2024	znetEnergy2025	znetEnergy2026	znetEnergy2027	znetEnergy2028	znetEnergy2029
emissions	Included	Stationary Energy	Residential	Local	Solar	Renewable electricity imported from grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2851	-2851	-2851	-22213	-22213	-22213	-22213	-22213	-22213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	69	69	69	69	69	69
emissions	Included	Stationary Energy	Residential	Local	Wind	Renewable electricity imported from grid	0	19.5	6286	5419	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20789	-20789	-20789	-20789	-20789	-20789	5419	5419	5419	5419	5419	5419	5419	5419	5419	5419	5419	5419	20	20	20	20	20	20	84	84	84	84	84	84
emissions	Included	Stationary Energy	Residential	Local	Biomass	Renewable electricity imported from grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-133	-133	-133	-5251	-5251	-5251	-5251	-5251	-5251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	16	16
emissions	Included	Stationary Energy	Residential	Visitor	Electricity	Household Space Heating	366	1.1	0	316	MWh	366	375	385	394	404	414	425	435	446	457	469	481	366	375	385	394	404	414	425	435	446	457	469	481	316	324	332	340	349	357	366	375	385	394	404	414	1	1	1	1	1	1	1	1	1	1	2	2
emissions	Included	Stationary Energy	Residential	Visitor	Electricity	Household Hot Water	2386	7.4	0	2057	MWh	2386	2445	2507	2569	2633	2699	2767	2836	2907	2979	3054	3130	2386	2445	2507	2569	2633	2699	2767	2836	2907	2979	3054	3130	2057	2108	2161	2215	2270	2327	2385	2445	2506	2568	2633	2699	7	8	8	8	8	8	9	9	9	9	10	10
emissions	Included	Stationary Energy	Residential	Visitor	Electricity	Household Cooking	175	0.5	0	151	MWh	175	179	184	188	193	198	203	208	213	218	224	229	175	179	184	188	193	198	203	208	213	218	224	229	151	154	158	162	166	170	175	179	183	188	193	198	1	1	1	1	1	1	1	1	1	1	1	1
emissions	Included	Stationary Energy	Residential	Visitor	Electricity	Household Appliances	1930	6	0	1664	MWh	1930	1979	2028	2079	2131	2184	2239	2295	2352	2411	2471	2533	1930	1979	2028	2079	2131	2184	2239	2295	2352	2411	2471	2533	1664	1706	1748	1792	1837	1883	1930	1978	2028	2078	2130	2184	6	6	6	7	7	7	7	7	7	8	8	8
emissions	Included	Stationary Energy	Residential	Visitor	Electricity	Household Space Cooling	994	3.1	0	857	MWh	994	1019	1044	1070	1097	1124	1152	1181	1211	1241	1272	1304	994	1019	1044	1070	1097	1124	1152	1181	1211	1241	1272	1304	857	878	900	923	946	969	994	1018	1044	1070	1097	1124	3	3	3	3	3	4	4	4	4	4	4	4
emissions	Included	Stationary Energy	Residential	Visitor	Electricity	Household Lighting	368	1.1	0	317	MWh	368	377	386	396	406	416	426	437	448	459	471	482	368	377	386	396	406	416	426	437	448	459	471	482	317	325	333	341	350	359	367	377	386	396	406	416	1	1	1	1	1	1	1	1	1	1	2	2
emissions	Included	Stationary Energy	Residential	Visitor	Electricity	Household Electric Vehicle Charging	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Residential	Visitor	Gas (mains)	Household Space Heating	462	8.3	0	8	TJ	462	473	485	497	510	522	535	549	562	576	591	606	462	473	485	497	510	522	535	549	562	576	591	606	8	9	9	9	9	9	10	10	10	10	11	11	8	9	9	9	9	9	10	10	10	10	11	11
emissions	Included	Stationary Energy	Residential	Visitor	Gas (mains)	Household Hot Water	486	8.8	0	9	TJ	486	498	511	523	537	550	564	578	592	607	622	638	486	498	511	523	537	550	564	578	592	607	622	638	9	9	9	9	10	10	10	10	11	11	11	12	9	9	9	9	10	10	10	10	11	11	11	12
emissions	Included	Stationary Energy	Residential	Visitor	Gas (mains)	Household Cooking	405	7.3	0	7	TJ	405	415	425	436	447	458	469	481	493	505	518	531	405	415	425	436	447	458	469	481	493	505	518	531	7	7	8	8	8	8	8	9	9	9	9	10	7	8	8	8	8	8	9	9	9	9	9	10
emissions	Included	Stationary Energy	Residential	Visitor	Gas (bottled)	Household Space Heating	58	0.9	0	1	TJ	58	59	61	62	64	66	67	69	71	72	74	76	58	59	61	62	64	66	67	69	71	72	74	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
emissions	Included	Stationary Energy	Residential	Visitor	Gas (bottled)	Household Hot Water	174	2.7	0	3	TJ	174	179	183	188	192	197	202	207	212	218	223	229	174	179	183	188	192	197	202	207	212	218	223	229	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	4	4
emissions	Included	Stationary Energy	Residential	Visitor	Gas (bottled)	Household Cooking	54	0.8	0	1	TJ	54	55	57	58	60	61	63	64	66	67	69	71	54	55	57	58	60	61	63	64	66	67	69	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
emissions	Included	Stationary Energy	Residential	Visitor	Wood	Household Space Heating	34	26.2	0	1614	tonnes of wood	34	35	36	37	38	38	39	40	41	42	44	45	34	35	36	37	38	38	39	40	41	42	44	45	1614	1655	1696	1739	1782	1827	1872	1919	1967	2016	2067	2118	26	27	28	28	29	30	30	31	32	33	34	34
emissions	Included	Stationary Energy	Residential	Visitor	Solar	Renewable electricity consumed on site	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Residential	Visitor	Solar	Renewable electricity exported to grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Residential	Visitor	Solar	Renewable electricity imported from grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-551	-551	-551	-4291	-4291	-4291	-4291	-4291	-4291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	13	13	13	13	13	13
